Nom;Date;Heure
D133249 LA MI TEMPS;2021-07-27;15:30:00
D446731 LE COMPTOIR;2021-07-12;09:30:00
D437810 LE PTI T DEPANNEUR;2021-07-26;15:30:00
D227278 LE NAUTIL;2021-07-28;13:30:00
D277163 AUX 20 SCENES;2021-07-27;09:00:00
D352468 LE BARATIN;2021-07-22;09:30:00
D142447 LE RENDEZ VOUS;2021-07-22;15:00:00
D388411 L ESTAMINET;2021-07-22;11:00:00
D473471 BAR DES SPORTS;2021-07-21;09:00:00
D329032 STERENN;2021-07-15;09:00:00
D360985 LA CIGALE;2021-07-13;09:00:00
D438012 LE TY LULU;2021-07-13;10:30:00
D395533 O'BISTROT;2021-07-15;11:00:00
D264192 BAR TABAC;2021-07-15;09:00:00
D473188 LE KALIPSO;2021-07-15;13:30:00
D379304 LA GRANDE AUBERGE;2021-07-29;09:00:00
D316391 LE TERMINUS;2021-07-21;09:00:00
D477851 LE TONO DU VILLAGE;2021-07-13;13:00:00
D306251 TRISKELL;2021-07-23;11:00:00
D343416 L HERMINE;2021-07-29;09:00:00
D443412 LE WELCOME;2021-07-27;09:00:00
D32354 LE CAPRICORNE;2021-07-15;09:00:00
D408690 BAR TABAC LE RELAIS;2021-07-15;09:00:00
D401790 LE KORRIGAN;2021-07-15;09:00:00
D474661 LE COMMERCE;2021-07-28;09:00:00
D435896 LE MALAMOCK II;2021-07-28;09:00:00
D392451 LA CIVETTE;2021-07-29;11:00:00
D471441 LE JAVA S;2021-07-13;09:30:00
D343553 CAFE DES SPORTS LANGON;2021-07-21;11:00:00
D381141 LE BISTROT;2021-07-21;13:30:00
D393792 L AUBERGE DES 4 SAISONS;2021-07-13;11:00:00
D471717 CHEZ TITI;2021-07-27;11:00:00
D396313 LE KF;2021-07-29;15:00:00
D476564 LE P TY COMPTOIR;2021-07-27;15:00:00
D328470 LE PADDOCK   GUICHEN;2021-07-29;16:30:00
D207297 CHAUSSIS PROXI;2021-07-15;15:30:00
D361241 LE MARIGNY;2021-07-21;09:00:00
D439574 LE MARTRAY;2021-07-28;11:00:00
D412170 L HIPPOCAMPE;2021-07-28;09:30:00
D471859 LE CHALET;2021-07-28;10:30:00
D347621 LE RELAX;2021-07-27;15:00:00
D389323 L ANDELOIS;2021-07-28;09:00:00
D298892 AUBERGE DES 4 CHATEAUX;2021-07-21;09:00:00
D348432 BAR TABAC PMU;2021-07-27;09:00:00
D430670 BAR TABAC PRESSE;2021-07-27;10:30:00
D470506 LE PALISSY;2021-07-28;10:30:00
D405510 LE BOURNY;2021-07-22;09:00:00
D42866 LE CHIQUITO;2021-07-28;15:30:00
D336641 PROXI FENEU;2021-07-20;09:30:00
D432334 BREST MEM;2021-07-21;09:00:00
D475559 LE NEMROD;2021-07-21;09:00:00
D475903 LE ROYAL;2021-07-15;15:30:00
D240774 BAR TABAC ANNOT;2021-07-21;09:00:00
D441670 BAR   TABAC  LE PROVENCE;2021-07-15;14:00:00
D337780 BAR DES AMIS;2021-07-16;13:00:00
D381147 L ETAPE;2021-07-16;09:00:00
D223110 BAR TABAC  LES DRAILLES;2021-07-22;09:00:00
D475032 TABAC PRESSE;2021-07-16;14:30:00
D420810 LE PANIER DE LAURA;2021-07-16;10:30:00
